city,tp_scheme,fp_number,area_excel,area_geometry,diff_pct,validation_status,road_width_m,road_edges
Surat,TP14,40,5985.0,5970.34,-0.24,OK,,
Surat,TP14,41,2853.0,2852.21,-0.03,OK,,
Surat,TP14,42,9450.0,9448.62,-0.01,OK,,
Surat,TP14,43,11610.0,22692.71,95.46,FAIL,,
Surat,TP14,44,7344.0,7346.68,0.04,OK,,
Surat,TP14,46,3396.0,3399.02,0.09,OK,,
Surat,TP14,47,1392.0,1385.37,-0.48,OK,,
Surat,TP14,48,2403.0,2380.22,-0.95,OK,,
Surat,TP14,49,2830.0,2834.33,0.15,OK,,
Surat,TP14,5,2296.0,2297.59,0.07,OK,,
Surat,TP14,50,1355.0,1355.35,0.03,OK,,
Surat,TP14,51,2567.0,2568.11,0.04,OK,,
Surat,TP14,52,3263.0,3241.32,-0.66,OK,,
Surat,TP14,53,1735.0,1703.65,-1.81,OK,,
Surat,TP14,54,1735.0,1735.76,0.04,OK,,
Surat,TP14,55,1735.0,1736.74,0.1,OK,,
Surat,TP14,56,3027.0,2981.94,-1.49,OK,,
Surat,TP14,57,9297.0,9301.83,0.05,OK,,
Surat,TP14,58,5166.0,5172.9,0.13,OK,,
Surat,TP14,59,2563.0,2567.39,0.17,OK,,
Surat,TP14,6,2562.0,2562.14,0.01,OK,,
Surat,TP14,60,1916.0,1920.0,0.21,OK,,
Surat,TP14,61,8160.0,8164.37,0.05,OK,,
Surat,TP14,62,3806.0,3766.91,-1.03,OK,,
Surat,TP14,63,2153.0,9283.22,331.18,FAIL,,
Surat,TP14,64,3376.0,3358.09,-0.53,OK,,
Surat,TP14,65,8272.0,8232.78,-0.47,OK,,
Surat,TP14,66,1950.0,1951.85,0.09,OK,,
Surat,TP14,67,3625.0,3625.47,0.01,OK,,
Surat,TP14,68,3753.0,3750.16,-0.08,OK,,
Surat,TP14,69,2572.0,2576.04,0.16,OK,,
Surat,TP14,7,2712.0,2712.0,-0.0,OK,,
Surat,TP14,70,3522.0,3522.29,0.01,OK,,
Surat,TP14,71,4954.0,4927.63,-0.53,OK,,
Surat,TP14,72,2929.0,2908.78,-0.69,OK,,
Surat,TP14,73,3921.0,3907.02,-0.36,OK,,
Surat,TP14,74,4298.0,4280.83,-0.4,OK,,
Surat,TP14,75,3311.0,3315.12,0.12,OK,,
Surat,TP14,76,4442.0,4441.59,-0.01,OK,,
Surat,TP14,77,3923.0,3907.67,-0.39,OK,,
Surat,TP14,78,3404.0,3404.96,0.03,OK,,
Surat,TP14,79,19438.0,19418.5,-0.1,OK,,
